sample_id,PC1,PC2,PC3,mahal_dist,is_outlier,pct_var_pc1,pct_var_pc2,pct_var_pc3,n_genes_pca
MB-0156,-10.471548794229028,15.417323642181564,8.716968568118938,10.732437239169915,FALSE,16.89,7.97,4.38,500
MB-0157,-15.81298298043477,-0.07450713552231893,-0.20111578922378548,2.9625152148106744,FALSE,16.89,7.97,4.38,500
MB-0158,-10.703166586571344,2.082576442881276,-5.747357442301313,2.9726412896127385,FALSE,16.89,7.97,4.38,500
MB-0159,-9.919256512713478,4.4533925733135815,-5.438710651230148,3.012646035790259,FALSE,16.89,7.97,4.38,500
MB-0160,-3.5901991027394833,8.967883309334251,11.237814425725677,7.934607041566633,FALSE,16.89,7.97,4.38,500
MB-0162,9.19687180574552,6.77866003195489,0.6316289208491974,2.173070863191035,FALSE,16.89,7.97,4.38,500
MB-0163,-15.246965202956742,-5.027883348955852,12.453097242587024,10.464087063647682,FALSE,16.89,7.97,4.38,500
MB-0164,-19.85205400781351,-2.9885982935163313,4.532268552692416,5.827708501046123,FALSE,16.89,7.97,4.38,500
MB-0165,-3.816641986567923,4.5711778084223456,-6.59944268126987,2.6845325857324083,FALSE,16.89,7.97,4.38,500
MB-0166,4.108709803841822,3.0073156541906934,3.784541579710324,1.080517895459366,FALSE,16.89,7.97,4.38,500
MB-0167,1.702367778528974,-6.5244174437215525,-5.0199900794609595,2.2528730448658036,FALSE,16.89,7.97,4.38,500
MB-0168,-2.322272302495994,9.724239055929369,0.14833095995481338,2.43849645084745,FALSE,16.89,7.97,4.38,500
MB-0169,-1.3977926409881474,14.073902568491878,4.433395789197528,5.8921198387458835,FALSE,16.89,7.97,4.38,500
MB-0170,0.6180914931326061,11.592829020804443,-5.4209550967770275,4.719119086224071,FALSE,16.89,7.97,4.38,500
MB-0171,0.5000818789137388,14.577745184294669,4.992606336606965,6.474865143818462,FALSE,16.89,7.97,4.38,500
MB-0172,1.3135385859046833,7.477549804357087,-1.1354489831550807,1.482795923362647,FALSE,16.89,7.97,4.38,500
MB-0173,5.962128781206592,-10.077951220942552,-1.6172198802030364,3.089682723847523,FALSE,16.89,7.97,4.38,500
MB-0174,-18.235596419689625,-2.069520394093526,4.764952408191201,5.0808017613725385,FALSE,16.89,7.97,4.38,500
MB-0175,7.037010431541961,-1.2336885906593689,-2.194028861353784,0.8441809866334157,FALSE,16.89,7.97,4.38,500
MB-0176,1.9088215785406428,5.791951642430621,3.3498694497928856,1.3973248568418786,FALSE,16.89,7.97,4.38,500
MB-0177,5.552955351834145,9.485506405107968,-1.394754856593406,2.712383422230714,FALSE,16.89,7.97,4.38,500
MB-0178,2.4641148035175338,-5.227055962336155,-2.446159442981366,1.030791045423374,FALSE,16.89,7.97,4.38,500
MB-0179,-14.242481153738929,11.92613797692302,-4.421211664938251,6.864002198510605,FALSE,16.89,7.97,4.38,500
MB-0180,11.102762596114754,0.9079183965095999,-1.2808066660709465,1.5550548679667004,FALSE,16.89,7.97,4.38,500
MB-0181,3.8909731703542354,11.442600864653686,1.5297076554470315,3.5726861594963157,FALSE,16.89,7.97,4.38,500
MB-0184,11.034741099052447,-8.52885900790003,9.68781504737938,7.550674867058004,FALSE,16.89,7.97,4.38,500
MB-0185,-3.3968160009567336,-2.578677885785004,-5.4848230910217985,1.6763940829788277,FALSE,16.89,7.97,4.38,500
MB-0188,-2.0191294832859548,1.7350100429034425,-8.616611621825067,3.5120882323191474,FALSE,16.89,7.97,4.38,500
MB-0189,-3.654686569144694,11.586996712708446,-0.9779446114394625,3.5719067333146413,FALSE,16.89,7.97,4.38,500
MB-0191,-17.77186211030339,-6.161369247111388,3.948079977453013,5.40371061810355,FALSE,16.89,7.97,4.38,500
MB-0192,-7.286585946423188,7.576449967038991,-4.047131839128614,2.81700485224997,FALSE,16.89,7.97,4.38,500
MB-0193,11.555364456495065,1.767570182939749,0.02274522279746985,1.6593664077440666,FALSE,16.89,7.97,4.38,500
MB-0194,-0.3280368472407917,9.110470230954927,-1.013623444503258,2.131622726854659,FALSE,16.89,7.97,4.38,500
MB-0195,3.110966543152504,-7.61846611348647,-4.065945090060768,2.3259596873200983,FALSE,16.89,7.97,4.38,500
MB-0197,-4.834955928877811,0.6309636889109416,-4.674290002955991,1.2838587755816628,FALSE,16.89,7.97,4.38,500
MB-0198,2.2043924174712677,5.169765723970485,-0.41821929782573436,0.7363964552475875,FALSE,16.89,7.97,4.38,500
MB-0199,7.967524003976573,7.094829061094086,-2.75817760214996,2.362313847109538,FALSE,16.89,7.97,4.38,500
MB-0200,-18.266684388894156,-9.333724928901468,9.186058972212916,9.988303064026763,FALSE,16.89,7.97,4.38,500
MB-0201,-8.883364311624254,2.3428579253091097,-1.471798852472309,1.1709608761160062,FALSE,16.89,7.97,4.38,500
MB-0202,4.715181669438499,0.5005041651655056,-0.23181152114509318,0.2719724187162982,FALSE,16.89,7.97,4.38,500
MB-0203,0.8030660186630185,5.2339934799805174,-2.0528007406497637,0.8875977253364767,FALSE,16.89,7.97,4.38,500
MB-0204,4.411414654232819,10.515054495383415,3.0391972926892725,3.427339138441003,FALSE,16.89,7.97,4.38,500
MB-0205,-0.7696805263049696,15.382039574297359,5.071255128683777,7.11990296943433,FALSE,16.89,7.97,4.38,500
MB-0206,-21.060457986623195,-0.8377378591904081,0.5707148210118429,5.283909558107384,FALSE,16.89,7.97,4.38,500
MB-0207,3.9963714410164526,8.111655915104322,-2.0989825254013965,2.0418184134788637,FALSE,16.89,7.97,4.38,500
MB-0209,-9.788621742583752,9.04893487454725,4.5871522822307504,4.150121880307995,FALSE,16.89,7.97,4.38,500
MB-0210,-13.63386328957923,3.393236984258664,1.7458861319631902,2.628921129480423,FALSE,16.89,7.97,4.38,500
MB-0211,-5.298746464448355,3.1713823540018438,-3.5912856901331813,1.1734624643594644,FALSE,16.89,7.97,4.38,500
MB-0214,-15.233133303544435,-5.693198052341469,4.145615300518779,4.345298671771351,FALSE,16.89,7.97,4.38,500
MB-0215,4.5161239989851705,6.305732303954879,-4.233655078193807,2.0575416540896176,FALSE,16.89,7.97,4.38,500
MB-0218,7.840288018034951,-1.727727262942131,0.13704206956017573,0.8035764827696993,FALSE,16.89,7.97,4.38,500
MB-0220,-12.971522696204898,11.324801203241513,-2.9428609580363085,5.606707863746795,FALSE,16.89,7.97,4.38,500
MB-0221,-6.501024266807414,0.38459984392332347,-9.292920834469664,4.445110671751705,FALSE,16.89,7.97,4.38,500
MB-0222,-1.5651946902419376,9.779266521423912,-3.7614921032000446,3.0752757928936525,FALSE,16.89,7.97,4.38,500
MB-0223,2.4368777404299777,0.5550944253426031,-4.28586377225322,0.9163056460318154,FALSE,16.89,7.97,4.38,500
MB-0224,1.8438460657877684,10.307735972964316,2.0066522364425534,2.8910562518054794,FALSE,16.89,7.97,4.38,500
MB-0225,5.0757575116436655,-7.75983698787448,-1.6208165631733789,1.9364204848502047,FALSE,16.89,7.97,4.38,500
MB-0226,4.613782910432679,11.417377338722625,0.5471808907780653,3.5378710672744567,FALSE,16.89,7.97,4.38,500
MB-0227,0.52328701275545,6.90292716049287,0.7230357996803566,1.2232075160675564,FALSE,16.89,7.97,4.38,500
MB-0228,0.6793207812171844,14.669115610135583,10.624385235294005,10.558159131574216,FALSE,16.89,7.97,4.38,500
MB-0229,8.65157470614121,2.2099622128957277,-3.044586938400307,1.431815214725117,FALSE,16.89,7.97,4.38,500
MB-0230,-7.111770047931811,-1.6206411869834798,-3.370371768663175,1.1831431556182668,FALSE,16.89,7.97,4.38,500
